Word,Cluster,Syllabification,Prop Responses
winter,N T,,
defect,F,,
rainy,N,,
winkle,NG K,,
masthead,S T HH,,
deluxe,L,,
plaster,S T,,
stockyard,K Y,,
maraud,R,,
winder,N D,,
wily,L,,
delay,L,,
chapman,P M,,
aware,W,,
decide,S,,
witting,T,,
wizard,Z,,
woodman,D M,,
very,R,,
markup,R K,,
suppose,P,,
wondrous,N D R,,
measles,Z,,
pertain,R T,,
cystic,S T,,
theorem,R,,
wallow,L,,
sniffle,F,,
sentry,N T R,,
decrease,K R,,
dolly,L,,
piddle,D,,
absence,B S,,
array,R,,
driveway,V W,,
unfit,N F,,
disown,S,,
pitcher,CH,,
schism,Z,,
unique,N,,
agent,JH,,
dribble,B,,
mizen,Z,,
author,TH,,
aground,G R,,
cropland,P L,,
dugout,G,,
crosswalk,S W,,
vigil,JH,,
causal,Z,,
pollute,L,,
module,JH,,
phalanx,L,,
draftsman,F T S M,,
college,L,,
uphold,P HH,,
figure,G Y,,
carrot,R,,
bobby,B,,
broker,K,,
afoot,F,,
afloat,F L,,
unmoved,N M,,
again,G,,
unit,N,,
aback,B,,
sloppy,P,,
diaper,P,,
gander,N D,,
until,N T,,
drastic,S T,,
cleanly,N L,,
earthy,R TH,,
statute,CH,,
monger,NG G,,
ledger,JH,,
hackman,K M,,
filler,L,,
lucent,S,,
employ,M P L,,
irate,R,,
algae,L JH,,
trinket,NG K,,
tribune,B Y,,
triceps,S,,
inmate,N M,,
easy,Z,,
woodland,D L,,
pivot,V,,
cabin,B,,
titled,T,,
onus,N,,
dungeon,N JH,,
involve,N V,,
tumble,M B,,
moisten,S,,
chuckle,K,,
tungsten,NG S T,,
moisture,S CH,,
geyser,Z,,
truncheon,N CH,,
absolve,B Z,,
caucus,K,,
eagle,G,,
mollusk,L,,
pretzel,T Z,,
tubule,B Y,,
stalwart,L W,,
portal,R T,,
receipt,S,,
furthest,R TH,,
vicious,SH,,
commit,M,,
culvert,L V,,
disprove,S P R,,
dissolve,Z,,
learning,R N,,
coleslaw,L S L,,
mallet,L,,
venue,N Y,,
malaise,L,,
sexton,K S T,,
adopt,D,,
whereas,R,,
dethrone,TH R,,
maxim,K S,,
adjunct,JH,,
adieu,D,,
dislike,S L,,
virgin,R JH,,
lettuce,T,,
discord,S K,,
social,SH,,
middle,D,,
reserved,Z,,
scrimmage,M,,
dispense,S P,,
village,L,,
folkway,K W,,
vignette,N Y,,
center,N T,,
saloon,L,,
instant,N S T,,
downy,N,,
chlorine,R,,
menthol,N TH,,
vineyard,N Y,,
maggot,G,,
donkey,NG K,,
afar,F,,
vaccine,K S,,
pinky,NG K,,
inside,N S,,
valet,L,,
inshore,N SH,,
cryptic,P T,,
double,B,,
clergy,R JH,,
rocket,K,,
pinto,N T,,
pinpoint,N P,,
afield,F,,
useless,S L,,
usher,SH,,
lizard,Z,,
docile,S,,
staple,P,,
vengeance,N JH,,
vector,K T,,
niggard,G,,
larynx,R,,
censor,N S,,
retract,T R,,
elder,L D,,
chosen,Z,,
affect,F,,
doldrums,L D R,,
castor,S T,,
present,Z,,
minstrel,N S T R,,
mischief,S CH,,
hallmark,L M,,
body,D,,
climate,M,,
rebel,B,,
renounce,N,,
repent,P,,
nexus,K S,,
postmark,S T M,,
mitten,T,,
hairy,R,,
cadence,D,,
misquote,S K W,,
conga,NG G,,
divine,V,,
symbol,M B,,
handrail,N D R,,
hammock,M,,
batting,T,,
pension,N SH,,
remain,M,,
purport,R P,,
resent,Z,,
florid,R,,
pastel,S T,,
dental,N T,,
gumption,M P SH,,
extant,K S T,,
furtive,R T,,
restaurant,S T,,
lady,D,,
waistline,S T L,,
replete,P L,,
repulse,P,,
hackle,K,,
hydro,D R,,
lagoon,G,,
nascent,S,,
enrage,N R,,
reclaim,K L,,
bedlam,D L,,
harpoon,R P,,
limestone,M S T,,
conduct,N D,,
morass,R,,
recite,S,,
knockout,K,,
precede,S,,
rebus,B,,
devour,V,,
hartshorn,R T S HH,,
heather,DH,,
orphan,R F,,
pamphlet,M F L,,
amen,M,,
beaker,K,,
pageant,JH,,
silo,L,,
region,JH,,
relent,L,,
regret,G R,,
paddy,D,,
cacao,K,,
refrain,F R,,
wherry,R,,
harangue,R,,
beauty,T,,
beatnik,T N,,
regard,G,,
migraine,G R,,
hybrid,B R,,
berserk,R S,,
outlook,T L,,
rosewood,Z W,,
rotor,T,,
portly,R T L,,
gratis,T,,
knapsack,P S,,
counter,N T,,
sprightly,T L,,
musty,S T,,
dicker,K,,
rotate,T,,
selfish,L F,,
bamboo,M B,,
ignite,G N,,
grumble,M B,,
cajole,JH,,
sardine,R D,,
open,P,,
neutron,T R,,
remind,M,,
greenness,N N,,
outclass,T K L,,
washer,SH,,
parrot,R,,
rudder,D,,
bailiff,L,,
consult,N S,,
martial,R SH,,
obverse,B V,,
finger,NG G,,
rubbish,B,,
rowboat,B,,
gracious,SH,,
concave,N K,,
surmise,R M,,
temple,M P,,
other,DH,,
lanky,NG K,,
roundhouse,N D HH,,
jitters,T,,
hotel,T,,
vapor,P,,
return,T,,
coca,K,,
revise,V,,
landing,N D,,
outing,T,,
ditto,T,,
barracks,R,,
comely,M L,,
result,Z,,
lamprey,M P R,,
retain,T,,
landau,N D,,
conscious,N SH,,
retire,T,,
goblin,B L,,
water,T,,
banjo,N JH,,
shiver,V,,
kilo,L,,
query,R,,
monsoon,N S,,
banish,N,,
sweepstakes,P S T,,
grisly,Z L,,
camshaft,M SH,,
achieve,CH,,
barbell,R B,,
banshee,N SH,,
outfox,T F,,
possum,S,,
jumble,M B,,
outer,T,,
grizzly,Z L,,
ribbon,B,,
rickets,K,,
error,R,,
cafe,F,,
billet,L,,
species,SH,,
proscribe,S K R,,
homesick,M S,,
triplex,P L,,
honor,N,,
subtract,B T R,,
melon,L,,
horehound,R HH,,
pronoun,N,,
billion,L Y,,
pretend,T,,
biscuit,S K,,
compel,M P,,
tensile,N S,,
timid,M,,
lowland,L,,
transverse,N Z V,,
pummel,M,,
thirteen,R T,,
project,JH,,
punish,N,,
hurrah,R,,
hurry,R,,
vessel,S,,
pseudo,D,,
hollow,L,,
upturn,P T,,
hockey,K,,
prudent,D,,
pulpit,L P,,
prattle,T,,
toupee,P,,
pastiche,S T,,
comply,M P L,,
housing,Z,,
preset,S,,
garment,R M,,
preview,V Y,,
handsome,N S,,
judgement,JH M,,
blazer,Z,,
prejudge,JH,,
human,M,,
bully,L,,
prefix,F,,
prepuce,P Y,,
commence,M,,
humble,M B,,
proclaim,K L,,
whither,DH,,
credit,D,,
bitten,T,,
patter,T,,
commute,M Y,,
hospice,S P,,
proceed,S,,
profuse,F Y,,
patsy,T S,,
outdoors,T D,,
buggy,G,,
horror,R,,
precise,S,,
mouser,Z,,
canton,N T,,
burgeon,R JH,,
peanut,N,,
cranky,NG K,,
porous,R,,
garden,R D,,
prism,Z,,
awry,R,,
cheerful,R F,,
rancor,NG K,,
barker,R K,,
rambler,M B L,,
recount,K,,
rankle,NG K,,
also,L S,,
behave,HH,,
strangle,NG G,,
helix,L,,
parlay,R L,,
puzzle,Z,,
parley,R L,,
radon,D,,
parka,R K,,
raisin,Z,,
strapping,P,,
prairie,R,,
railroad,L R,,
kitchen,CH,,
quarrel,R,,
upper,P,,
ravel,V,,
before,F,,
nearby,R B,,
rebirth,B,,
incise,N S,,
jostle,S,,
heathen,DH,,
ascend,S,,
rascal,S K,,
kinsman,N Z M,,
raucous,K,,
heighten,T,,
closet,Z,,
libel,B,,
debut,B Y,,
hatter,T,,
highlight,L,,
putter,T,,
besiege,S,,
huntress,N T R,,
hidden,D,,
nonesuch,N S,,
puree,R,,
powwow,W,,
coffer,F,,
puppy,P,,
busboy,S B,,
hirsute,R S,,
hectare,K T,,
fickle,K,,
hinder,N D,,
butcher,CH,,
concede,N S,,
haggard,G,,
helmsman,L M Z M,,
doctrine,K T R,,
potter,T,,
quisling,Z L,,
refresh,F R,,
radar,D,,
rabbit,B,,
trumpet,M P,,
applause,P L,,
comic,M,,
forest,R,,
propane,P,,
kidney,D N,,
quarry,R,,
meager,G,,
revoke,V,,
quasi,S,,
kindle,N D,,
hereby,R B,,
tumbler,M B L,,
placement,S M,,
sever,V,,
garlic,R L,,
fasten,S,,
contain,N T,,
admire,D M,,
telltale,L T,,
shadow,D,,
serrate,R,,
molding,L D,,
auction,K SH,,
cancan,N K,,
consent,N S,,
service,R V,,
servile,R V,,
clothing,DH,,
nipper,P,,
supplant,P L,,
shorten,R T,,
mutter,T,,
paycheck,CH,,
sickle,K,,
pecan,K,,
occur,K,,
florin,R,,
quickie,K,,
darling,R L,,
grandeur,N D,,
tycoon,K,,
leavings,V,,
converge,N V,,
seashore,SH,,
season,Z,,
avenge,V,,
sector,K T,,
secret,K R,,
argue,R G Y,,
omit,M,,
lawsuit,S,,
scruple,P,,
surtax,R T,,
turgid,R JH,,
layman,M,,
seamstress,M S T R,,
paper,P,,
leakage,K,,
gavel,V,,
extinct,K S T,,
lichen,K,,
sequel,K W,,
dosage,S,,
gastric,S T R,,
grotto,T,,
gentle,N T,,
ripple,P,,
convince,N V,,
segment,G M,,
genial,N Y,,
structure,K CH,,
often,F T,,
upstream,P S T R,,
sodden,D,,
jelly,L,,
aphid,F,,
frigate,G,,
astute,S T,,
lemon,M,,
partridge,R T R,,
smother,DH,,
fulsome,L S,,
tawny,N,,
assort,S,,
assess,S,,
jersey,R Z,,
assist,S,,
solely,L,,
freedman,D M,,
chisel,Z,,
sorrow,R,,
tartar,R T,,
bother,DH,,
frailty,L T,,
southwest,TH W,,
aspect,S P,,
somber,M B,,
batten,T,,
solo,L,,
lengthwise,NG TH W,,
yoga,G,,
baggy,G,,
sordid,R D,,
gable,B,,
athwart,TH W,,
canker,NG K,,
simper,M P,,
oboe,B,,
atop,T,,
pillage,L,,
perform,R F,,
hyphen,F,,
gallop,L,,
perfect,R F,,
obstruct,B S T R,,
gaily,L,,
silence,L,,
allied,L,,
copper,P,,
asthma,Z M,,
sliding,D,,
slavish,V,,
boycott,K,,
tester,S T,,
beggar,G,,
dreaming,M,,
kegler,G L,,
slither,DH,,
skipper,P,,
object,B JH,,
obit,B,,
astral,S T R,,
machine,SH,,
oatmeal,T M,,
legal,G,,
prickly,K L,,
awful,F,,
lava,V,,
savant,V,,
gluten,T,,
contest,N T,,
baseball,S B,,
scatter,T,,
savor,V,,
avert,V,,
implore,M P L,,
rival,V,,
saki,K,,
girdle,R D,,
gobbler,B,,
facial,SH,,
checker,K,,
career,R,,
kazoo,Z,,
glamor,M,,
scamper,M P,,
attune,T,,
percent,R S,,
hostess,S T,,
scallion,L Y,,
optics,P T,,
drachma,K M,,
await,W,,
sanctum,NG K T,,
bongo,NG G,,
venous,N,,
amount,M,,
during,R,,
favor,V,,
clutter,T,,
impinge,M P,,
porter,R T,,
saute,T,,
greyhound,HH,,
callus,L,,
onion,N Y,,
rustic,S T,,
lukewarm,K W,,
satin,T,,
only,N L,,
glisten,S,,
saffron,F R,,
sabre,B,,
running,N,,
lactate,K T,,
humbug,M B,,
conceit,N S,,
nippy,P,,
constrain,N S T R,,
flimsy,M Z,,
raffle,F,,
approach,P R,,
plaudit,D,,
varied,R,,
skirmish,R M,,
candor,N D,,
gunpoint,N P,,
inquest,N K W,,
amuse,M Y,,
morbid,R B,,
stomach,M,,
grimace,M,,
showman,M,,
musket,S K,,
hookup,K,,
acquaint,K W,,
across,K R,,
angel,N JH,,
manner,N,,
fracture,K CH,,
warden,R D,,
wangle,NG G,,
toxic,K S,,
morose,R,,
design,Z,,
cutback,T B,,
mention,N SH,,
welter,L T,,
townsfolk,N Z F,,
stupid,P,,
story,R,,
dingy,N JH,,
ditty,T,,
sergeant,R JH,,
butler,T L,,
cabal,B,,
chestnut,S N,,
pygmy,G M,,
roommate,M,,
rhesus,S,,
dessert,Z,,
postwar,S T W,,
solace,L,,
abed,B,,
polyp,L,,
assault,S,,
plastic,S T,,
premise,M,,
goggle,G,,
herring,R,,
cheery,R,,
procure,K Y,,
coven,V,,
profile,F,,
crochet,SH,,
combo,M B,,
whaler,L,,
aspen,S P,,
thorough,R,,
goodly,D L,,
lentil,N T,,
outbreak,T B R,,
foundry,N D R,,
bondage,N D,,
laden,D,,
broaden,D,,
abate,B,,
prelate,L,,
father,DH,,
reduce,D,,
lessen,S,,
lattice,T,,
locker,K,,
spectrum,K T R,,
datum,T,,
scuba,B,,
foreground,R G R,,
remiss,M,,
pastime,S T,,
brigade,G,,
degrade,G R,,
humus,M,,
psychic,K,,
expose,K S P,,
stutter,T,,
bevel,V,,
slander,N D,,
noble,B,,
alight,L,,
forearm,R,,
wildcat,L D K,,
murder,R D,,
furnace,R N,,
balance,L,,
rupee,P,,
woman,M,,
hanging,NG,,
nutshell,T SH,,
pucker,K,,
innate,N,,
otter,T,,
wobble,B,,
define,F,,
coral,R,,
pathos,TH,,
roister,S T,,
fungi,N JH,,
revolt,V,,
kibbutz,B,,
explode,K S P L,,
ivory,V,,
ersatz,R S,,
beachhead,CH HH,,
treasure,ZH,,
balloon,L,,
ulcer,L S,,
cancel,N S,,
thriving,V,,
mimic,M,,
today,D,,
island,L,,
consign,N S,,
linen,N,,
vestal,S T,,
minion,N Y,,
diverse,V,,
sulphate,L F,,
giddy,D,,
modern,D,,
allay,L,,
caustic,S T,,
tamper,M P,,
aura,R,,
crisscross,S K R,,
suitor,T,,
cowboy,B,,
unclean,N K L,,
phantom,N T,,
apply,P L,,
ready,D,,
impulse,M P,,
negate,G,,
nectar,K T,,
affirm,F,,
imply,M P L,,
fiddle,D,,
cocoon,K,,
fifteen,F T,,
bogus,G,,
remote,M,,
redoubt,D,,
sequence,K W,,
battle,T,,
ogle,G,,
fastness,S T N,,
vassal,S,,
hoodlum,D L,,
mobile,B,,
heady,D,,
standby,N D B,,
audit,D,,
linage,N,,
padding,D,,
pacer,S,,
pensive,N S,,
ponder,N D,,
resound,S,,
parade,R,,
temptress,M P T R,,
xebec,B,,
suture,CH,,
downstage,N S T,,
elect,L,,
esprit,S P R,,
claimant,M,,
vivid,V,,
flatware,T W,,
conclave,N K L,,
shorthand,R T HH,,
parent,R,,
gusto,S T,,
carnal,R N,,
headdress,D R,,
saucy,S,,
reside,Z,,
trundle,N D,,
urgent,R JH,,
madhouse,D HH,,
pillion,L Y,,
herein,R,,
coma,M,,
scurry,R,,
okra,K R,,
raven,V,,
softball,F T B,,
ghetto,T,,
satire,T,,
cavort,V,,
upward,P W,,
elope,L,,
clapper,P,,
kennel,N,,
gantry,N T R,,
survive,R V,,
vibrate,B R,,
carefree,R F R,,
patrol,T R,,
program,G R,,
linguist,NG G W,,
asset,S,,
respite,S P,,
rhythm,DH,,
croquet,K,,
huntsman,N T S M,,
wherein,R,,
spinal,N,,
deaden,D,,
serum,R,,
yachtsman,T S M,,
franchise,N CH,,
gypsum,P S,,
gorgeous,R JH,,
pleasure,ZH,,
oneness,N N,,
faucet,S,,
prescribe,S K R,,
canner,N,,
inborn,N B,,
cowslip,S L,,
foresee,R S,,
unformed,N F,,
carrel,R,,
ginger,N JH,,
renege,N,,
avail,V,,
solemn,L,,
tanker,NG K,,
ticking,K,,
sleazy,Z,,
estate,S T,,
able,B,,
loiter,T,,
poodle,D,,
outcome,T K,,
mesa,S,,
bandage,N D,,
classmate,S M,,
emerge,M,,
victim,K T,,
lethal,TH,,
quaker,K,,
potion,SH,,
detain,T,,
mustard,S T,,
bonus,N,,
rosin,Z,,
condemn,N D,,
cable,B,,
sauterne,T,,
vomit,M,,
consume,N S,,
shuffle,F,,
discard,S K,,
extend,K S T,,
cutting,T,,
parkway,R K W,,
allow,L,,
children,L D R,,
gristle,S,,
rustle,S,,
ardent,R D,,
anguish,NG G W,,
heartless,R T L,,
mogul,G,,
lager,G,,
acute,K Y,,
tucker,K,,
phosphate,S F,,
seamy,M,,
corner,R N,,
delete,L,,
comet,M,,
pulpwood,L P W,,
hapless,P L,,
magi,JH,,
reflect,F L,,
percept,R S,,
afire,F,,
dowry,R,,
noisy,Z,,
bearing,R,,
bible,B,,
cellist,L,,
jaunty,N T,,
summon,M,,
insert,N S,,
hideout,D,,
nelson,L S,,
hornbook,R N B,,
mortal,R T,,
filbert,L B,,
usage,S,,
padre,D R,,
mantle,N T,,
obey,B,,
tribal,B,,
reason,Z,,
minute,N,,
starfish,R F,,
